beds,baths,size,zip_code,price,lot_sq_ft,bed_bath_diff,bed_bath_ratio,lot_size_ratio
3,2.5,2080.0,98117,977000.0,9880.0,0.5,1.2,4.75
3,1.0,1000.0,98118,710000.0,5960.0,2.0,3.0,5.96
2,1.5,1131.0,98144,685000.0,43560.0,0.5,1.3333333333333333,38.51458885941645
4,3.0,2230.0,98178,1205000.0,9625.0,1.0,1.3333333333333333,4.316143497757848
5,3.0,3130.0,98122,2095000.0,5750.0,2.0,1.6666666666666667,1.8370607028753994
5,3.0,3750.0,98107,1580000.0,5000.0,2.0,1.6666666666666667,1.3333333333333333
2,2.0,1720.0,98116,985000.0,5000.0,0.0,1.0,2.9069767441860463
3,2.0,1286.0,98136,738000.0,870.0,1.0,1.5,0.6765163297045101
2,1.0,1422.0,98117,715000.0,3399.0,1.0,2.0,2.390295358649789
4,3.5,3956.0,98125,3200000.0,12632.4,0.5,1.1428571428571428,3.193225480283114
6,5.0,3620.0,98119,1420000.0,5500.0,1.0,1.2,1.5193370165745856
3,1.5,1370.0,98178,659950.0,6556.0,1.5,2.0,4.785401459854015
2,3.0,1824.0,98101,2458000.0,16117.199999999999,-1.0,0.6666666666666666,8.836184210526316
4,2.0,2370.0,98115,1350000.0,5000.0,2.0,2.0,2.109704641350211
4,2.5,2200.0,98106,825000.0,5146.0,1.5,1.6,2.339090909090909
6,3.0,3020.0,98178,775000.0,32670.0,3.0,2.0,10.817880794701987
5,3.0,3400.0,98168,756500.0,18730.8,2.0,1.6666666666666667,5.509058823529411
3,1.0,1660.0,98115,749900.0,4349.0,2.0,3.0,2.619879518072289
4,2.0,2080.0,98178,675000.0,7200.0,2.0,2.0,3.4615384615384617
2,1.0,900.0,98126,480000.0,6150.0,1.0,2.0,6.833333333333333
4,4.5,3960.0,98144,2485000.0,7025.0,-0.5,0.8888888888888888,1.773989898989899
5,3.5,3310.0,98115,1575000.0,6328.0,1.5,1.4285714285714286,1.9117824773413896
1,1.0,621.0,98133,289900.0,13503.6,0.0,1.0,21.744927536231884
4,2.0,1910.0,98106,685000.0,5166.0,2.0,2.0,2.7047120418848167
3,2.5,1563.0,98118,839950.0,1950.0,0.5,1.2,1.2476007677543186
5,3.5,3340.0,98106,980000.0,10454.4,1.5,1.4285714285714286,3.130059880239521
4,3.0,2390.0,98119,1300000.0,3600.0,1.0,1.3333333333333333,1.506276150627615
2,1.5,1131.0,98144,670000.0,43560.0,0.5,1.3333333333333333,38.51458885941645
2,2.0,1201.0,98103,699950.0,720.0,0.0,1.0,0.5995004163197336
3,3.0,1940.0,98199,450000.0,5000.0,0.0,1.0,2.577319587628866
2,1.0,1760.0,98116,715000.0,4625.0,1.0,2.0,2.627840909090909
4,3.0,1680.0,98117,905000.0,3080.0,1.0,1.3333333333333333,1.8333333333333333
2,2.0,1192.0,98103,719950.0,928.0,0.0,1.0,0.7785234899328859
4,4.0,2300.0,98105,1440000.0,3589.0,0.0,1.0,1.5604347826086957
3,2.5,2304.0,98117,1100000.0,5000.0,0.5,1.2,2.170138888888889
4,4.0,2650.0,98103,1000000.0,6000.0,0.0,1.0,2.2641509433962264
5,4.0,4210.0,98105,2625000.0,5200.0,1.0,1.25,1.2351543942992873
4,3.0,2840.0,98177,1350000.0,9996.0,1.0,1.3333333333333333,3.519718309859155
2,1.0,980.0,98107,863000.0,4100.0,1.0,2.0,4.183673469387755
4,4.5,2440.0,98105,1900000.0,5000.0,-0.5,0.8888888888888888,2.0491803278688523
2,2.0,1140.0,98117,590000.0,2550.0,0.0,1.0,2.236842105263158
4,3.5,1824.0,98103,1299000.0,3250.0,0.5,1.1428571428571428,1.781798245614035
2,2.0,1115.0,98121,1069000.0,41817.6,0.0,1.0,37.504573991031386
4,3.0,2478.0,98105,2095000.0,4001.0,1.0,1.3333333333333333,1.6146085552865215
2,2.0,1140.0,98133,665000.0,5445.0,0.0,1.0,4.776315789473684
3,1.5,1172.0,98122,685000.0,5760.0,1.5,2.0,4.914675767918089
2,2.0,1433.0,98136,750000.0,1948.0,0.0,1.0,1.3593859036985345
3,2.0,1520.0,98117,760000.0,4000.0,1.0,1.5,2.6315789473684212
3,2.5,1380.0,98106,590000.0,2250.0,0.5,1.2,1.6304347826086956
15,6.0,11010.0,98112,3700000.0,14374.800000000001,9.0,2.5,1.3056130790190736
4,2.0,1750.0,98105,1025000.0,4950.0,2.0,2.0,2.8285714285714287
3,2.5,3590.0,98103,1725000.0,4250.0,0.5,1.2,1.1838440111420614
5,3.0,2040.0,98118,605000.0,6180.0,2.0,1.6666666666666667,3.0294117647058822
2,2.0,1560.0,98115,980000.0,6750.0,0.0,1.0,4.326923076923077
2,2.5,1088.0,98107,835000.0,5500.0,-0.5,0.8,5.055147058823529
2,1.0,1460.0,98115,400000.0,5700.0,1.0,2.0,3.904109589041096
3,2.0,1380.0,98117,800000.0,2909.0,1.0,1.5,2.1079710144927537
2,1.0,1000.0,98116,793000.0,4640.0,1.0,2.0,4.64
2,2.0,1128.0,98144,625000.0,6000.0,0.0,1.0,5.319148936170213
1,1.0,776.0,98116,515000.0,47480.4,0.0,1.0,61.18608247422681
3,2.5,2000.0,98106,799000.0,7440.0,0.5,1.2,3.72
4,5.5,2867.0,98115,1750000.0,4983.0,-1.5,0.7272727272727273,1.7380537146843391
4,3.0,1180.0,98117,956300.0,4650.0,1.0,1.3333333333333333,3.940677966101695
3,2.0,1920.0,98199,1067000.0,3154.0,1.0,1.5,1.6427083333333334
2,2.0,2220.0,98126,551000.0,5950.0,0.0,1.0,2.68018018018018
2,3.0,1300.0,98107,780000.0,915.0,-1.0,0.6666666666666666,0.7038461538461539
3,2.0,1460.0,98106,583000.0,5005.0,1.0,1.5,3.4280821917808217
3,2.5,2500.0,98117,1685000.0,4305.0,0.5,1.2,1.722
3,2.5,1540.0,98122,852500.0,1037.0,0.5,1.2,0.6733766233766234
5,3.0,2550.0,98106,940000.0,6604.0,2.0,1.6666666666666667,2.5898039215686275
3,2.5,1520.0,98106,540700.0,1062.0,0.5,1.2,0.6986842105263158
1,1.0,640.0,98104,345000.0,15245.999999999998,0.0,1.0,23.821875
4,3.0,2190.0,98126,860000.0,5136.0,1.0,1.3333333333333333,2.345205479452055
2,1.0,930.0,98133,620000.0,6000.0,1.0,2.0,6.451612903225806
5,2.5,2900.0,98106,800000.0,10018.800000000001,2.5,2.0,3.4547586206896557
4,3.5,2780.0,98112,950000.0,4000.0,0.5,1.1428571428571428,1.4388489208633093
3,1.0,2560.0,98125,776000.0,8927.0,2.0,3.0,3.487109375
3,2.5,1566.0,98122,875000.0,1602.0,0.5,1.2,1.0229885057471264
2,2.0,1245.0,98168,330000.0,179031.6,0.0,1.0,143.80048192771085
3,2.5,1190.0,98144,750000.0,1290.0,0.5,1.2,1.084033613445378
5,2.5,2760.0,98126,1025000.0,6350.0,2.5,2.0,2.300724637681159
4,1.5,3260.0,98199,1695000.0,5568.0,2.5,2.6666666666666665,1.7079754601226993
4,3.0,2380.0,98115,1399999.0,4635.0,1.0,1.3333333333333333,1.9474789915966386
2,2.5,1884.0,98116,925000.0,11761.2,-0.5,0.8,6.242675159235669
3,2.5,1712.0,98117,910000.0,1215.0,0.5,1.2,0.709696261682243
2,2.0,1196.0,98107,734999.0,780.0,0.0,1.0,0.6521739130434783
3,2.0,1098.0,98105,864950.0,2320.0,1.0,1.5,2.1129326047358834
3,3.0,1250.0,98117,815000.0,6350.0,0.0,1.0,5.08
1,1.0,880.0,98122,700000.0,4500.0,0.0,1.0,5.113636363636363
4,2.0,1595.0,98118,525000.0,5500.0,2.0,2.0,3.4482758620689653
3,3.0,2380.0,98136,1230000.0,5000.0,0.0,1.0,2.100840336134454
3,2.0,3190.0,98112,2700000.0,4380.0,1.0,1.5,1.3730407523510972
3,2.5,1465.0,98119,1175000.0,2973.0,0.5,1.2,2.0293515358361773
4,2.0,2910.0,98115,1400000.0,8360.0,2.0,2.0,2.872852233676976
2,3.0,1140.0,98144,675000.0,650.0,-1.0,0.6666666666666666,0.5701754385964912
1,1.0,500.0,98168,385000.0,4000.0,0.0,1.0,8.0
3,2.0,1580.0,98126,942000.0,6400.0,1.0,1.5,4.050632911392405
5,3.0,2430.0,98133,915000.0,7812.0,2.0,1.6666666666666667,3.214814814814815
2,2.0,2360.0,98199,1460000.0,5800.0,0.0,1.0,2.457627118644068
3,2.5,1396.0,98136,780000.0,4800.0,0.5,1.2,3.438395415472779
4,2.0,2340.0,98115,925000.0,7500.0,2.0,2.0,3.2051282051282053
4,1.5,2140.0,98125,700500.0,6511.0,2.5,2.6666666666666665,3.0425233644859815
4,3.0,2980.0,98105,1090000.0,4480.0,1.0,1.3333333333333333,1.5033557046979866
3,1.5,1390.0,98168,412000.0,9350.0,1.5,2.0,6.726618705035971
2,1.0,720.0,98106,525000.0,4240.0,1.0,2.0,5.888888888888889
4,2.5,1850.0,98108,945000.0,2856.0,1.5,1.6,1.5437837837837838
3,4.5,1710.0,98126,725000.0,1326.0,-1.5,0.6666666666666666,0.775438596491228
2,1.0,970.0,98106,386000.0,15245.999999999998,1.0,2.0,15.717525773195874
3,2.0,1606.0,98109,1450000.0,900.0,1.0,1.5,0.5603985056039851
3,2.5,1815.0,98103,1295000.0,1500.0,0.5,1.2,0.8264462809917356
2,1.0,1120.0,98122,700000.0,1188.0,1.0,2.0,1.0607142857142857
4,2.0,2220.0,98177,995000.0,9295.0,2.0,2.0,4.186936936936937
3,2.0,1460.0,98117,888000.0,4590.0,1.0,1.5,3.143835616438356
5,3.0,3820.0,98116,1575000.0,7980.0,2.0,1.6666666666666667,2.089005235602094
3,3.5,2480.0,98119,1795000.0,2400.0,-0.5,0.8571428571428571,0.967741935483871
5,3.0,2777.0,98125,1338600.0,7026.0,2.0,1.6666666666666667,2.530068419157364
2,2.0,1170.0,98144,624999.0,588.0,0.0,1.0,0.5025641025641026
3,1.0,1430.0,98103,980000.0,2280.0,2.0,3.0,1.5944055944055944
2,5.5,1320.0,98144,679950.0,1250.0,-3.5,0.36363636363636365,0.946969696969697
2,2.0,2170.0,98116,893000.0,5250.0,0.0,1.0,2.4193548387096775
3,1.5,1630.0,98115,895000.0,6615.0,1.5,2.0,4.058282208588957
2,2.0,1900.0,98122,1310000.0,2164.0,0.0,1.0,1.1389473684210527
3,2.0,1760.0,98106,689000.0,4000.0,1.0,1.5,2.272727272727273
3,2.5,1712.0,98107,970000.0,1514.0,0.5,1.2,0.8843457943925234
4,2.5,3190.0,98102,1820000.0,5500.0,1.5,1.6,1.7241379310344827
4,3.5,3590.0,98109,2900000.0,4000.0,0.5,1.1428571428571428,1.1142061281337048
1,1.0,630.0,98133,255000.0,4895.0,0.0,1.0,7.76984126984127
5,2.0,1830.0,98118,665000.0,5220.0,3.0,2.5,2.8524590163934427
2,1.0,760.0,98144,250000.0,3072.0,1.0,2.0,4.042105263157895
3,2.5,2600.0,98117,1148000.0,5100.0,0.5,1.2,1.9615384615384615
3,2.0,2130.0,98107,990200.0,4850.0,1.0,1.5,2.276995305164319
3,3.5,2899.0,98199,1800000.0,5346.0,-0.5,0.8571428571428571,1.8440841669541221
3,1.0,1090.0,98178,400000.0,13503.6,2.0,3.0,12.38862385321101
4,4.0,3360.0,98107,1200000.0,5000.0,0.0,1.0,1.4880952380952381
4,2.5,2240.0,98117,1050000.0,5229.0,1.5,1.6,2.334375
2,1.0,886.0,98112,620000.0,8863.0,1.0,2.0,10.003386004514672
3,2.0,1560.0,98106,799000.0,4960.0,1.0,1.5,3.1794871794871793
4,2.0,1730.0,98146,852000.0,8100.0,2.0,2.0,4.682080924855492
3,2.0,1700.0,98115,1150000.0,5346.0,1.0,1.5,3.144705882352941
4,3.5,1909.0,98103,1500000.0,1544.0,0.5,1.1428571428571428,0.8088004190675746
3,2.0,2180.0,98117,1012000.0,3740.0,1.0,1.5,1.7155963302752293
3,3.0,1460.0,98144,1000000.0,7200.0,0.0,1.0,4.931506849315069
2,1.0,1010.0,98125,549950.0,6750.0,1.0,2.0,6.683168316831683
3,1.0,990.0,98146,635000.0,8100.0,2.0,3.0,8.181818181818182
2,2.0,1164.0,98117,706474.0,8280.0,0.0,1.0,7.11340206185567
1,1.0,583.0,98119,349000.0,12632.4,0.0,1.0,21.667924528301885
4,2.0,2740.0,98119,1400000.0,6000.0,2.0,2.0,2.18978102189781
3,2.0,1670.0,98118,485000.0,5400.0,1.0,1.5,3.2335329341317367
3,1.0,830.0,98125,660000.0,7800.0,2.0,3.0,9.397590361445783
2,2.0,1200.0,98122,705000.0,1247.0,0.0,1.0,1.0391666666666666
3,3.5,2530.0,98102,1299000.0,1880.0,-0.5,0.8571428571428571,0.7430830039525692
4,3.0,2660.0,98117,1360000.0,5100.0,1.0,1.3333333333333333,1.9172932330827068
4,2.0,2820.0,98117,1441000.0,4764.0,2.0,2.0,1.6893617021276597
2,1.0,1011.0,98103,159488.0,10454.4,1.0,2.0,10.340652818991098
2,1.5,1088.0,98106,590000.0,1518.0,0.5,1.3333333333333333,1.3952205882352942
6,3.5,3785.0,98117,3150000.0,5150.0,2.5,1.7142857142857142,1.3606340819022458
3,2.0,1540.0,98144,630000.0,1102.0,1.0,1.5,0.7155844155844155
2,1.5,1180.0,98168,575000.0,10890.0,0.5,1.3333333333333333,9.228813559322035
3,3.5,1968.0,98199,980000.0,1498.0,-0.5,0.8571428571428571,0.7611788617886179
1,1.0,610.0,98119,340000.0,25700.399999999998,0.0,1.0,42.13180327868852
2,2.0,1346.0,98116,800000.0,23086.800000000003,0.0,1.0,17.15215453194651
2,2.5,1320.0,98133,570000.0,1030.0,-0.5,0.8,0.7803030303030303
3,3.5,3064.0,98121,2450000.0,25700.399999999998,-0.5,0.8571428571428571,8.387859007832898
3,2.0,2980.0,98115,1415000.0,5800.0,1.0,1.5,1.9463087248322148
4,3.5,3050.0,98102,2250000.0,6146.0,0.5,1.1428571428571428,2.015081967213115
3,2.0,2020.0,98133,917500.0,7200.0,1.0,1.5,3.5643564356435644
3,2.5,1926.0,98122,1148000.0,1483.0,0.5,1.2,0.7699896157840083
2,1.0,1330.0,98125,479000.0,7425.0,1.0,2.0,5.582706766917293
3,2.0,2410.0,98199,1083000.0,4950.0,1.0,1.5,2.0539419087136928
2,2.5,1580.0,98106,699000.0,5000.0,-0.5,0.8,3.1645569620253164
3,1.0,1030.0,98105,710000.0,4480.0,2.0,3.0,4.349514563106796
3,3.0,1630.0,98168,615000.0,6721.0,0.0,1.0,4.123312883435583
4,2.5,2370.0,98146,750000.0,3600.0,1.5,1.6,1.518987341772152
4,1.0,1310.0,98146,735000.0,6000.0,3.0,4.0,4.580152671755725
3,2.0,1996.0,98117,986500.0,4656.0,1.0,1.5,2.3326653306613228
3,2.0,1580.0,98126,820000.0,6396.0,1.0,1.5,4.048101265822785
4,2.0,2360.0,98115,950000.0,6120.0,2.0,2.0,2.593220338983051
3,2.0,1496.0,98144,824500.0,43560.0,1.0,1.5,29.11764705882353
2,2.5,1250.0,98117,725000.0,1027.0,-0.5,0.8,0.8216
4,2.5,2380.0,98105,1900000.0,5000.0,1.5,1.6,2.100840336134454
2,2.0,1095.0,98177,599950.0,617.0,0.0,1.0,0.5634703196347032
2,2.0,1080.0,98106,533500.0,1175.0,0.0,1.0,1.087962962962963
2,2.0,1146.0,98112,845000.0,800.0,0.0,1.0,0.6980802792321117
4,2.5,1544.0,98117,850000.0,2352.0,1.5,1.6,1.5233160621761659
1,1.0,707.0,98122,590000.0,11325.6,0.0,1.0,16.01923620933522
4,3.0,2067.0,98122,1074900.0,43560.0,1.0,1.3333333333333333,21.074020319303337
4,3.0,2360.0,98115,1360000.0,7200.0,1.0,1.3333333333333333,3.0508474576271185
2,2.0,724.0,98103,430000.0,5400.0,0.0,1.0,7.458563535911602
5,2.5,2180.0,98118,1009975.0,4069.0,2.5,2.0,1.86651376146789
3,2.0,1960.0,98199,955000.0,4400.0,1.0,1.5,2.2448979591836733
1,1.0,727.0,98103,445000.0,5250.0,0.0,1.0,7.2214580467675376
3,2.0,1209.0,98116,725000.0,752.0,1.0,1.5,0.6220016542597188
5,3.0,3070.0,98117,1450000.0,3400.0,2.0,1.6666666666666667,1.1074918566775245
